distance_km,time_min,fare
19.04,114.33,682.99
8.22,22.94,245.81
3.38,104.61,421.08
1.52,116.54,425.66
41.71,29.42,760.37
15.56,65.35,477.22
21.88,38.49,488.67
14.96,47.13,417.1
23.08,95.3,682.56
29.82,10.34,520.79
30.57,24.61,578.88
34.37,55.62,730.27
6.54,61.95,336.7
15.93,64.81,477.48
27.56,26.26,546.18
4.88,27.54,206.17
2.74,42.41,215.1
41.52,46.03,805.05
14.41,67.41,469.9
4.19,118.49,466.52
38.73,27.85,721.87
38.68,13.52,677.01
18.24,18.32,379.81
16.88,12.31,343.45
15.89,42.4,418.93
44.42,59.3,906.33
6.42,87.02,408.83
38.66,61.79,827.81
26.38,54.17,608.74
16.06,63.49,479.93
45.42,33.67,844.61
11.83,13.85,267.61
14.84,23.54,346.36
40.28,26.46,735.99
44.68,67.02,914.79
11.78,54.12,387.79
40.99,103.98,976.84
21.16,30.54,457.94
6.43,43.83,277.49
26.18,85.85,703.08
18.5,116.75,664.75
14.6,9.24,296.64
30.67,62.81,697.14
7.67,61.29,349.97
49.29,32.84,898.02
12.26,88.74,503.88
18.71,77.72,567.12
4.97,101.06,437.1
16.38,26.45,375.42
34.04,6.91,578.4
25.85,31.05,525.26
34.7,49.47,722.31
46.87,20.81,809.09
46.27,105.89,1058.3
13.27,80.9,492.87
26.72,32.81,556.41
5.11,108.18,452.36
17.28,45.16,448.16
36.43,108.17,923.27
32.28,14.68,580.24
8.5,108.33,503.96
0.75,23.49,130.78
27.66,84.57,710.05
35.75,32.28,687.57
16.61,90.85,577.21
33.05,70.36,759.95
5.14,47.29,266.58
48.66,50.21,922.94
44.66,77.58,952.76
29.06,61.64,680.57
10.16,88.08,461.64
47.05,114.7,1105.16
45.79,47.57,883.72
48.2,103.1,1081.51
15.08,49.29,422.18
8.89,69.03,393.78
46.84,85.04,998.81
30.94,118.86,872.02
7.43,64.61,356.55
35.0,85.79,837.04
18.29,38.76,442.9
43.42,110.02,1036.66
25.81,62.67,628.73
35.25,96.52,878.17
44.56,43.87,843.44
29.12,9.13,512.97
23.55,67.4,609.6
2.01,9.3,106.31
41.22,46.42,808.08
38.61,29.82,710.87
31.33,14.81,564.64
27.26,78.3,689.28
36.44,117.22,929.06
39.86,36.15,757.76
22.23,14.02,427.66
20.74,24.93,439.66
8.24,33.78,279.79
33.18,37.19,661.94
47.77,89.86,1058.12
21.27,33.49,474.37
18.12,92.15,600.91
23.97,16.25,461.85
24.83,59.45,599.28
20.23,75.82,573.66
31.94,10.21,567.8
25.41,103.5,731.0
33.11,23.74,619.1
1.81,72.36,292.46
47.04,71.18,984.51
23.18,67.75,593.51
47.1,49.4,907.24
